country,region_city,latitude,longitude,population_group,sample_size,season_month,mean_25ohd_reported,units_reported,standardized_nmol_l,year_of_data,short_citation,full_citation,url,study_type,assay_method
UK,National (NDNS),53.0,-1.0,Adults 70+,492,September (peak),51,nmol/L,51.0,2008-2012,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1 to 4 (combined) of the Rolling Programme 2008/2009-2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023,National survey,CLIA
UK,National (NDNS),53.0,-1.0,Adults 70+,492,March (nadir),38,nmol/L,38.0,2008-2012,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1 to 4 (combined) of the Rolling Programme 2008/2009-2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023,National survey,CLIA
Canada,National (CHMS),56.0,-96.0,Adults 65-79,500,Summer,68,nmol/L,68.0,2007-2009,Whiting et al. 2011,"Whiting SJ, Langlois KA, Vatanparast H, Greene-Finestone LS. The vitamin D status of Canadians relative to the 2011 Dietary Reference Intakes. Am J Clin Nutr. 2011;94(1):128-135.",https://pubmed.ncbi.nlm.nih.gov/21593503/,National survey,CLIA
Canada,National (CHMS),56.0,-96.0,Adults 65-79,500,Winter,52,nmol/L,52.0,2007-2009,Whiting et al. 2011,"Whiting SJ, Langlois KA, Vatanparast H, Greene-Finestone LS. The vitamin D status of Canadians relative to the 2011 Dietary Reference Intakes. Am J Clin Nutr. 2011;94(1):128-135.",https://pubmed.ncbi.nlm.nih.gov/21593503/,National survey,CLIA
Germany,National (DEGS1),51.0,10.0,Adults 65-79,1500,Summer,58,nmol/L,58.0,2008-2011,Rabenberg et al. 2015,"Rabenberg M, Scheidt-Nave C, Busch MA, et al. Vitamin D status among adults in Germany - results from DEGS1. BMC Public Health. 2015;15:641.",https://pubmed.ncbi.nlm.nih.gov/26162848/,National survey,CLIA (VDSP)
Germany,National (DEGS1),51.0,10.0,Adults 65-79,1500,Winter,36,nmol/L,36.0,2008-2011,Rabenberg et al. 2015,"Rabenberg M, Scheidt-Nave C, Busch MA, et al. Vitamin D status among adults in Germany - results from DEGS1. BMC Public Health. 2015;15:641.",https://pubmed.ncbi.nlm.nih.gov/26162848/,National survey,CLIA (VDSP)
South Korea,National (KNHANES),37.0,127.0,Adults 60+,5000,Summer,50,nmol/L,50.0,2008-2014,Park et al. 2018,"Park JH, Hong IY, Chung JW, Choi HS. Vitamin D status in South Korean population: Seven-year trend from the KNHANES. Medicine. 2018;97(26):e11032.",https://pubmed.ncbi.nlm.nih.gov/29952935/,National survey,RIA
South Korea,National (KNHANES),37.0,127.0,Adults 60+,5000,Winter,42,nmol/L,42.0,2008-2014,Park et al. 2018,"Park JH, Hong IY, Chung JW, Choi HS. Vitamin D status in South Korean population: Seven-year trend from the KNHANES. Medicine. 2018;97(26):e11032.",https://pubmed.ncbi.nlm.nih.gov/29952935/,National survey,RIA
Japan,Niigata,38.0,139.0,Frail elderly at home,143,Summer,53.3,nmol/L,53.3,2003,Suzuki et al. 2005,"Suzuki T, Kwon J, Kim H, et al. Low serum 25-hydroxyvitamin D levels associated with falls among Japanese community-dwelling elderly. J Bone Miner Res. 2008;23(8):1309-1317; initial data: J Bone Miner Metab. 2005;23(2):147-154.",https://pubmed.ncbi.nlm.nih.gov/15750693/,Cross-sectional,RIA
Japan,Niigata,38.0,139.0,Frail elderly at home,120,Winter,54.2,nmol/L,54.2,2003,Suzuki et al. 2005,"Suzuki T, Kwon J, Kim H, et al. Low serum 25-hydroxyvitamin D levels associated with falls among Japanese community-dwelling elderly. J Bone Miner Res. 2008;23(8):1309-1317; initial data: J Bone Miner Metab. 2005;23(2):147-154.",https://pubmed.ncbi.nlm.nih.gov/15750693/,Cross-sectional,RIA
Saudi Arabia,Riyadh,24.7,46.7,Postmenopausal 50+,234,Summer,40,nmol/L,40.0,2009,Al-Othman et al. 2012,"Al-Othman A, Al-Musharaf S, Al-Daghri NM, et al. Year-round vitamin D deficiency among Saudi female out-patients. BMC Womens Health. 2012;12(Suppl 1):S2.",https://pubmed.ncbi.nlm.nih.gov/36380347/,Cross-sectional,HPLC
Saudi Arabia,Riyadh,24.7,46.7,Postmenopausal 50+,354,Winter,35,nmol/L,35.0,2009,Al-Othman et al. 2012,"Al-Othman A, Al-Musharaf S, Al-Daghri NM, et al. Year-round vitamin D deficiency among Saudi female out-patients. BMC Womens Health. 2012;12(Suppl 1):S2.",https://pubmed.ncbi.nlm.nih.gov/36380347/,Cross-sectional,HPLC
Australia,Geelong,-38.1,144.4,Older women,500,Summer,67,nmol/L,67.0,1994-1997,Pasco et al. 2001,"Pasco JA, Henry MJ, Nicholson GC, Sanders KM, Kotowicz MA. Vitamin D status of women in the Geelong Osteoporosis Study. Med J Aust. 2001;175(8):401-405.",https://pubmed.ncbi.nlm.nih.gov/11700831/,Population cohort,RIA
Australia,Geelong,-38.1,144.4,Older women,500,Winter,55,nmol/L,55.0,1994-1997,Pasco et al. 2001,"Pasco JA, Henry MJ, Nicholson GC, Sanders KM, Kotowicz MA. Vitamin D status of women in the Geelong Osteoporosis Study. Med J Aust. 2001;175(8):401-405.",https://pubmed.ncbi.nlm.nih.gov/11700831/,Population cohort,RIA
Brazil,Sao Paulo,-23.5,-46.6,Active elderly 65+,70,Late summer,62,nmol/L,62.0,2010,Maeda et al. 2013,"Maeda SS, Kunii IS, Hayashi LF, Lazaretti-Castro M. Increases in summer serum 25-hydroxyvitamin D (25OHD) concentrations in elderly subjects in Sao Paulo Brazil vary with age gender and ethnicity. BMC Endocr Disord. 2013;13:14.",https://pubmed.ncbi.nlm.nih.gov/23566263/,Longitudinal cohort,CLIA
Brazil,Sao Paulo,-23.5,-46.6,Active elderly 65+,70,Late winter,44,nmol/L,44.0,2010,Maeda et al. 2013,"Maeda SS, Kunii IS, Hayashi LF, Lazaretti-Castro M. Increases in summer serum 25-hydroxyvitamin D (25OHD) concentrations in elderly subjects in Sao Paulo Brazil vary with age gender and ethnicity. BMC Endocr Disord. 2013;13:14.",https://pubmed.ncbi.nlm.nih.gov/23566263/,Longitudinal cohort,CLIA
Netherlands,Amsterdam (LASA),52.4,4.9,Older adults 65-88,1300,Summer,65,nmol/L,65.0,1995-2012,van Schoor et al. 2014,"van Schoor NM, Knol DL, Deeg DJH, Peters FPAMN, Heijboer AC, Lips P. Longitudinal changes and predictors of serum 25(OH)D levels in older persons. Osteoporos Int. 2014;25(1):347-355.",https://pubmed.ncbi.nlm.nih.gov/24570295/,Prospective cohort,VDSP-standardised
Netherlands,Amsterdam (LASA),52.4,4.9,Older adults 65-88,1300,Winter,45,nmol/L,45.0,1995-2012,van Schoor et al. 2014,"van Schoor NM, Knol DL, Deeg DJH, Peters FPAMN, Heijboer AC, Lips P. Longitudinal changes and predictors of serum 25(OH)D levels in older persons. Osteoporos Int. 2014;25(1):347-355.",https://pubmed.ncbi.nlm.nih.gov/24570295/,Prospective cohort,VDSP-standardised
Netherlands,B-PROOF,52.4,4.9,Active elderly 65+,595,Summer,88.8,nmol/L,88.8,2014,Brouwer-Brolsma et al. 2018,"Brouwer-Brolsma EM, Vaes AMM, van der Zwaluw NL, et al. Determinants of vitamin D status in physically active elderly in the Netherlands. Eur J Nutr. 2019;58(8):3223-3235.",https://pubmed.ncbi.nlm.nih.gov/30523431/,Cohort,CLIA
Netherlands,B-PROOF,52.4,4.9,Active elderly 65+,595,Winter,55,nmol/L,55.0,2014,Brouwer-Brolsma et al. 2018,"Brouwer-Brolsma EM, Vaes AMM, van der Zwaluw NL, et al. Determinants of vitamin D status in physically active elderly in the Netherlands. Eur J Nutr. 2019;58(8):3223-3235.",https://pubmed.ncbi.nlm.nih.gov/30523431/,Cohort,CLIA
