country,region_city,latitude,longitude,population_group,sample_size,season_month,mean_25ohd_reported,units_reported,standardized_nmol_l,year_of_data,short_citation,full_citation,url,study_type,assay_method
USA,National (NHANES III),39.0,-98.0,Adults all races,18875,Winter,26,ng/mL,64.9,1988-1994,Looker et al. 2002,"Looker AC, Dawson-Hughes B, Calvo MS, Gunter EW, Sahyoun NR. Serum 25-hydroxyvitamin D status of adolescents and adults in two seasonal subpopulations from NHANES III. Bone. 2002;30(5):771-777.",https://pubmed.ncbi.nlm.nih.gov/11996918/,National survey,RIA
USA,National (NHANES III),39.0,-98.0,Adults all races,18875,Summer,32,ng/mL,79.9,1988-1994,Looker et al. 2002,"Looker AC, Dawson-Hughes B, Calvo MS, Gunter EW, Sahyoun NR. Serum 25-hydroxyvitamin D status of adolescents and adults in two seasonal subpopulations from NHANES III. Bone. 2002;30(5):771-777.",https://pubmed.ncbi.nlm.nih.gov/11996918/,National survey,RIA
UK,National (NDNS),53.0,-1.0,Adults 19-64,1655,September,59,nmol/L,59.0,2008-2012,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1 to 4 (combined) of the Rolling Programme 2008/2009-2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023,National survey,CLIA
UK,National (NDNS),53.0,-1.0,Adults 19-64,1655,March,37,nmol/L,37.0,2008-2012,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1 to 4 (combined) of the Rolling Programme 2008/2009-2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023,National survey,CLIA
Canada,National (CHMS),56.0,-96.0,Adults white,5306,Summer (Apr-Oct),70,nmol/L,70.0,2007-2009,Whiting et al. 2011,"Whiting SJ, Langlois KA, Vatanparast H, Greene-Finestone LS. The vitamin D status of Canadians relative to the 2011 Dietary Reference Intakes. Am J Clin Nutr. 2011;94(1):128-135.",https://pubmed.ncbi.nlm.nih.gov/21593503/,National survey,CLIA
Canada,National (CHMS),56.0,-96.0,Adults white,5306,Winter (Nov-Mar),55,nmol/L,55.0,2007-2009,Whiting et al. 2011,"Whiting SJ, Langlois KA, Vatanparast H, Greene-Finestone LS. The vitamin D status of Canadians relative to the 2011 Dietary Reference Intakes. Am J Clin Nutr. 2011;94(1):128-135.",https://pubmed.ncbi.nlm.nih.gov/21593503/,National survey,CLIA
Germany,National (DEGS1),51.0,10.0,Adults 18-79,6995,Winter (Dec-Feb),36,nmol/L,36.0,2008-2011,Rabenberg et al. 2015,"Rabenberg M, Scheidt-Nave C, Busch MA, Rieckmann N, Hintzpeter B, Mensink GBM. Vitamin D status among adults in Germany - results from DEGS1. BMC Public Health. 2015;15:641.",https://pubmed.ncbi.nlm.nih.gov/26162848/,National survey,CLIA (VDSP)
Germany,National (DEGS1),51.0,10.0,Adults 18-79,6995,Summer (Jun-Aug),63,nmol/L,63.0,2008-2011,Rabenberg et al. 2015,"Rabenberg M, Scheidt-Nave C, Busch MA, Rieckmann N, Hintzpeter B, Mensink GBM. Vitamin D status among adults in Germany - results from DEGS1. BMC Public Health. 2015;15:641.",https://pubmed.ncbi.nlm.nih.gov/26162848/,National survey,CLIA (VDSP)
Estonia,Tartu,58.4,26.7,General adults,367,Summer,57,nmol/L,57.0,2007,Kull et al. 2009,"Kull M Jr, Kallikorm R, Lember M. Body mass index determines sunbathing habits: implications on vitamin D levels. Intern Med J. 2009;39(4):256-258.",https://pubmed.ncbi.nlm.nih.gov/19149899/,Cross-sectional,CLIA
Estonia,Tartu,58.4,26.7,General adults,367,Winter,38,nmol/L,38.0,2007,Kull et al. 2009,"Kull M Jr, Kallikorm R, Lember M. Body mass index determines sunbathing habits: implications on vitamin D levels. Intern Med J. 2009;39(4):256-258.",https://pubmed.ncbi.nlm.nih.gov/19149899/,Cross-sectional,CLIA
Sweden,Stockholm,59.3,18.1,Blood donors,615,Summer (Jul-Sep),70,nmol/L,70.0,2013,Klingberg et al. 2015,"Klingberg E, Olerod G, Kober J, Petzold M, Hammarsten O. Seasonal variations in serum 25-hydroxy vitamin D levels in a Swedish cohort. Endocrine. 2015;49(3):800-808.",https://pubmed.ncbi.nlm.nih.gov/25681052/,Longitudinal,LC-MS/MS
Sweden,Stockholm,59.3,18.1,Blood donors,615,Winter (Jan-Mar),45,nmol/L,45.0,2013,Klingberg et al. 2015,"Klingberg E, Olerod G, Kober J, Petzold M, Hammarsten O. Seasonal variations in serum 25-hydroxy vitamin D levels in a Swedish cohort. Endocrine. 2015;49(3):800-808.",https://pubmed.ncbi.nlm.nih.gov/25681052/,Longitudinal,LC-MS/MS
South Korea,National (KNHANES),37.0,127.0,Adults 20+,21208,Summer (Jun-Aug),22,ng/mL,54.9,2008-2014,Park et al. 2018,"Park JH, Hong IY, Chung JW, Choi HS. Vitamin D status in South Korean population: Seven-year trend from the KNHANES. Medicine. 2018;97(26):e11032.",https://pubmed.ncbi.nlm.nih.gov/29952935/,National survey,RIA
South Korea,National (KNHANES),37.0,127.0,Adults 20+,21208,Winter (Dec-Feb),16,ng/mL,39.9,2008-2014,Park et al. 2018,"Park JH, Hong IY, Chung JW, Choi HS. Vitamin D status in South Korean population: Seven-year trend from the KNHANES. Medicine. 2018;97(26):e11032.",https://pubmed.ncbi.nlm.nih.gov/29952935/,National survey,RIA
Japan,Tokai,35.0,137.0,Healthy adults 20-68,197,March,15.1,ng/mL,37.7,2004,Ono et al. 2005,"Ono Y, Suzuki A, Kotake M, et al. Seasonal changes of serum 25-hydroxyvitamin D and intact parathyroid hormone levels in a normal Japanese population. J Bone Miner Metab. 2005;23(2):147-151.",https://pubmed.ncbi.nlm.nih.gov/15750693/,Cross-sectional,RIA
