country,region_city,latitude,longitude,population_group,sample_size,season_month,mean_25ohd_reported,units_reported,standardized_nmol_l,year_of_data,short_citation,full_citation,url,study_type,assay_method
UK,National (NDNS),53.0,-1.0,Children 4-10,803,Jul-Sep,60,nmol/L,60.0,2008-2012,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1 to 4 (combined) of the Rolling Programme 2008/2009-2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023,National survey,CLIA
UK,National (NDNS),53.0,-1.0,Children 4-10,803,Jan-Mar,38,nmol/L,38.0,2008-2012,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1 to 4 (combined) of the Rolling Programme 2008/2009-2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023,National survey,CLIA
UK,National (NDNS),53.0,-1.0,Adolescents 11-18,884,Jul-Sep,55,nmol/L,55.0,2008-2012,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1 to 4 (combined) of the Rolling Programme 2008/2009-2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023,National survey,CLIA
UK,National (NDNS),53.0,-1.0,Adolescents 11-18,884,Jan-Mar,35,nmol/L,35.0,2008-2012,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1 to 4 (combined) of the Rolling Programme 2008/2009-2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023,National survey,CLIA
Canada,National (CHMS),56.0,-96.0,Children 6-11,1000,Summer/fall,70,nmol/L,70.0,2009-2013,Munasinghe et al. 2017,"Munasinghe LL, Willows N, Yuan Y, Veugelers PJ. Vitamin D Sufficiency of Canadian Children Did Not Improve Following the 2010 Revision of the Dietary Guidelines. Nutrients. 2017;9(9):945.",https://pubmed.ncbi.nlm.nih.gov/28854000/,National survey,CLIA
Canada,National (CHMS),56.0,-96.0,Children 6-11,1000,Winter/spring,55,nmol/L,55.0,2009-2013,Munasinghe et al. 2017,"Munasinghe LL, Willows N, Yuan Y, Veugelers PJ. Vitamin D Sufficiency of Canadian Children Did Not Improve Following the 2010 Revision of the Dietary Guidelines. Nutrients. 2017;9(9):945.",https://pubmed.ncbi.nlm.nih.gov/28854000/,National survey,CLIA
Germany,National (KiGGS),51.0,10.0,Children 1-17,10015,Summer,75,nmol/L,75.0,2003-2006,Rabenberg et al. 2018,"Rabenberg M, Mensink GBM, Dortschy R, Scheidt-Nave C. Vitamin D status among children in Germany. BMC Public Health. 2018;18:845.",https://pubmed.ncbi.nlm.nih.gov/29986696/,National survey,CLIA (VDSP)
Germany,National (KiGGS),51.0,10.0,Children 1-17,10015,Winter,38,nmol/L,38.0,2003-2006,Rabenberg et al. 2018,"Rabenberg M, Mensink GBM, Dortschy R, Scheidt-Nave C. Vitamin D status among children in Germany. BMC Public Health. 2018;18:845.",https://pubmed.ncbi.nlm.nih.gov/29986696/,National survey,CLIA (VDSP)
China,Wuhan,30.6,114.3,Children 0-18,198754,Autumn,30,ng/mL,74.9,2019-2022,Wang et al. 2024,"Wang J, Zhang Y, Liu Y, et al. High prevalence and seasonal patterns of vitamin D deficiency in children and adolescents in Central China: a three-year single-center study. Heliyon. 2024;10(23):e40413.",https://pubmed.ncbi.nlm.nih.gov/39640697/,Hospital cross-sectional,CLIA
China,Wuhan,30.6,114.3,Children 0-18,198754,Winter,20,ng/mL,49.9,2019-2022,Wang et al. 2024,"Wang J, Zhang Y, Liu Y, et al. High prevalence and seasonal patterns of vitamin D deficiency in children and adolescents in Central China: a three-year single-center study. Heliyon. 2024;10(23):e40413.",https://pubmed.ncbi.nlm.nih.gov/39640697/,Hospital cross-sectional,CLIA
Saudi Arabia,Riyadh,24.7,46.7,Paediatric 0-18,1790,Summer,29,ng/mL,72.4,2019-2022,Benameur et al. 2024,"Benameur T, Oluyomi AO, Ghodbane S, et al. Seasonal Variations in 25-Hydroxyvitamin D Levels among Pediatric Patients Attending the Healthcare Centre. Nutrients. 2024;16(3):379.",https://pubmed.ncbi.nlm.nih.gov/38337663/,Cross-sectional,CLIA
Saudi Arabia,Riyadh,24.7,46.7,Paediatric 0-18,1790,Winter,22,ng/mL,54.9,2019-2022,Benameur et al. 2024,"Benameur T, Oluyomi AO, Ghodbane S, et al. Seasonal Variations in 25-Hydroxyvitamin D Levels among Pediatric Patients Attending the Healthcare Centre. Nutrients. 2024;16(3):379.",https://pubmed.ncbi.nlm.nih.gov/38337663/,Cross-sectional,CLIA
Finland,Helsinki,60.2,24.9,Pubertal girls 11-12,142,Summer,55,nmol/L,55.0,2002,Viljakainen et al. 2006,"Viljakainen HT, Natri AM, Karkkainen M, et al. A positive dose-response effect of vitamin D supplementation on site-specific bone mineral augmentation in adolescent girls. Br J Nutr. 2006;96(1):124-130.",https://pubmed.ncbi.nlm.nih.gov/16869999/,Cross-sectional,RIA
Finland,Helsinki,60.2,24.9,Pubertal girls 11-12,142,Winter,40,nmol/L,40.0,2002,Viljakainen et al. 2006,"Viljakainen HT, Natri AM, Karkkainen M, et al. A positive dose-response effect of vitamin D supplementation on site-specific bone mineral augmentation in adolescent girls. Br J Nutr. 2006;96(1):124-130.",https://pubmed.ncbi.nlm.nih.gov/16869999/,Cross-sectional,RIA
Japan,Multiple sites,36.0,140.0,Maternal cord blood,200,Autumn,21.6,ng/mL,53.9,2017,Shiraishi et al. 2019,"Shiraishi M, Haruna M, Matsuzaki M, et al. Seasonal variation of serum 25(OH) vitamin D levels in maternal and umbilical cord blood in Japanese women. Asia Pac J Clin Nutr. 2019;28(2):323-332.",https://pubmed.ncbi.nlm.nih.gov/31064925/,Cross-sectional,CLIA
Japan,Multiple sites,36.0,140.0,Maternal cord blood,200,Winter,16,ng/mL,39.9,2017,Shiraishi et al. 2019,"Shiraishi M, Haruna M, Matsuzaki M, et al. Seasonal variation of serum 25(OH) vitamin D levels in maternal and umbilical cord blood in Japanese women. Asia Pac J Clin Nutr. 2019;28(2):323-332.",https://pubmed.ncbi.nlm.nih.gov/31064925/,Cross-sectional,CLIA
South Africa,Cape Town,-34.0,18.5,Schoolchildren 6-11,1825,Summer (Jan-Mar),55,nmol/L,55.0,2017,Middelkoop et al. 2022,"Middelkoop K, Stewart J, Walker N, et al. Vitamin D deficiency in South African primary schoolchildren. South African Fam Pract. 2022.",https://pubmed.ncbi.nlm.nih.gov/35441046/,Cross-sectional,CLIA
South Africa,Cape Town,-34.0,18.5,Schoolchildren 6-11,1825,Winter (Jul-Sep),30,nmol/L,30.0,2017,Middelkoop et al. 2022,"Middelkoop K, Stewart J, Walker N, et al. Vitamin D deficiency in South African primary schoolchildren. South African Fam Pract. 2022.",https://pubmed.ncbi.nlm.nih.gov/35441046/,Cross-sectional,CLIA
Poland,6 cities,52.0,20.0,Children 9-13,720,October (post-summer),23,ng/mL,57.4,2014,Pludowski et al. 2019,"Pludowski P, Konstantynowicz J, Jaworski M, et al. Evidence of a significant vitamin D deficiency among 9-13-year-old Polish children: results of a multicentre study. Eur J Nutr. 2019;58(5):2029-2036.",https://pubmed.ncbi.nlm.nih.gov/29862435/,Multicentre paired,CLIA
Poland,6 cities,52.0,20.0,Children 9-13,720,March (post-winter),15,ng/mL,37.4,2014,Pludowski et al. 2019,"Pludowski P, Konstantynowicz J, Jaworski M, et al. Evidence of a significant vitamin D deficiency among 9-13-year-old Polish children: results of a multicentre study. Eur J Nutr. 2019;58(5):2029-2036.",https://pubmed.ncbi.nlm.nih.gov/29862435/,Multicentre paired,CLIA
Argentina,Ushuaia,-55.0,-68.3,Children fair skin,42,Summer,20,ng/mL,49.9,1990s,Oliveri et al. 1993,"Oliveri MB, Mautalen C, Bustamante L, Gomez Garcia V. Seasonal variations of 25 hydroxyvitamin D and parathyroid hormone in Ushuaia the southernmost city of the world. Bone Miner. 1993;20(1):99-108.",https://pubmed.ncbi.nlm.nih.gov/8453326/,Longitudinal,CPBA
Argentina,Ushuaia,-55.0,-68.3,Children fair skin,42,Winter,10,ng/mL,24.9,1990s,Oliveri et al. 1993,"Oliveri MB, Mautalen C, Bustamante L, Gomez Garcia V. Seasonal variations of 25 hydroxyvitamin D and parathyroid hormone in Ushuaia the southernmost city of the world. Bone Miner. 1993;20(1):99-108.",https://pubmed.ncbi.nlm.nih.gov/8453326/,Longitudinal,CPBA
Russia,Moscow,55.8,37.6,Children 1mo-18y,1041,Summer,22.9,ng/mL,57.2,2012-2015,Zakharova et al. 2017,"Zakharova IN, Maltsev SV, Borovik TE, et al. Seasonality of Vitamin D Insufficiency in Children of Moscow. Am J Pediatr. 2017;3(6):96-103.",https://www.sciencepublishinggroup.com/article/10.11648/j.ajp.20170306.14,Retrospective lab,ELISA
Russia,Moscow,55.8,37.6,Children 1mo-18y,1041,Winter,17,ng/mL,42.4,2012-2015,Zakharova et al. 2017,"Zakharova IN, Maltsev SV, Borovik TE, et al. Seasonality of Vitamin D Insufficiency in Children of Moscow. Am J Pediatr. 2017;3(6):96-103.",https://www.sciencepublishinggroup.com/article/10.11648/j.ajp.20170306.14,Retrospective lab,ELISA
Mexico,Mexico City,19.4,-99.1,Children 5-20,816,Summer,28,ng/mL,69.9,2016-2017,Lopez-Gonzalez et al. 2024,"Lopez-Gonzalez D, Mendez-Sanchez L, Clark P, et al. Seasonal Differences of 25-Hydroxyvitamin D Concentrations in Children and Adolescents from Mexico City and Metropolitan Area. Ann Nutr Metab. 2024;81(1):61-69.",https://pubmed.ncbi.nlm.nih.gov/39510049/,Cross-sectional 4 seasons,CLIA
Mexico,Mexico City,19.4,-99.1,Children 5-20,816,Winter,22,ng/mL,54.9,2016-2017,Lopez-Gonzalez et al. 2024,"Lopez-Gonzalez D, Mendez-Sanchez L, Clark P, et al. Seasonal Differences of 25-Hydroxyvitamin D Concentrations in Children and Adolescents from Mexico City and Metropolitan Area. Ann Nutr Metab. 2024;81(1):61-69.",https://pubmed.ncbi.nlm.nih.gov/39510049/,Cross-sectional 4 seasons,CLIA
Denmark,National (StatusD),56.0,10.0,Children 2-17,527,Autumn,73,nmol/L,73.0,2012-2014,Hansen et al. 2018,"Hansen L, Tjonneland A, Koster B, et al. Vitamin D Status and Seasonal Variation among Danish Children and Adults. Nutrients. 2018;10(11):1801.",https://pubmed.ncbi.nlm.nih.gov/30463277/,Population two-season,LC-MS/MS
Denmark,National (StatusD),56.0,10.0,Children 2-17,527,Spring,55,nmol/L,55.0,2012-2014,Hansen et al. 2018,"Hansen L, Tjonneland A, Koster B, et al. Vitamin D Status and Seasonal Variation among Danish Children and Adults. Nutrients. 2018;10(11):1801.",https://pubmed.ncbi.nlm.nih.gov/30463277/,Population two-season,LC-MS/MS
Denmark,Copenhagen,55.7,12.6,Adolescent girls 11-13,54,Summer,60.3,nmol/L,60.3,2008-2009,Andersen et al. 2013,"Andersen R, Brot C, Jakobsen J, et al. Seasonal changes in vitamin D status among Danish adolescent girls and elderly women. Eur J Clin Nutr. 2013;67(3):270-274.",https://pubmed.ncbi.nlm.nih.gov/23388667/,1-year longitudinal,LC-MS/MS
