country,region,lat,lng,jun_aug_value,dec_feb_value,n,short_citation,full_citation,url
United Kingdom,National (NDNS),53,-1,51,38,492,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1–4 of the Rolling Programme 2008/09–2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023
Canada,National (CHMS),56,-96,68,52,500,Whiting et al. 2011,"Whiting SJ et al. The vitamin D status of Canadians relative to the 2011 Dietary Reference Intakes. Am J Clin Nutr. 2011;94(1):128-135.",https://pubmed.ncbi.nlm.nih.gov/21593503/
Germany,National (DEGS1),51,10,58,36,1500,Rabenberg et al. 2015,"Rabenberg M et al. Vitamin D status among adults in Germany — results from DEGS1. BMC Public Health. 2015;15:641.",https://pubmed.ncbi.nlm.nih.gov/26162848/
South Korea,National (KNHANES),37,127,50,42,5000,Park et al. 2018,"Park JH et al. Vitamin D status in South Korean population: Seven-year trend from the KNHANES. Medicine. 2018;97(26):e11032.",https://pubmed.ncbi.nlm.nih.gov/29952935/
Japan,Niigata,38,139,53.3,54.2,143,Suzuki et al. 2005,"Suzuki T et al. Low serum 25-hydroxyvitamin D levels associated with falls. J Bone Miner Metab. 2005;23(2):147-154.",https://pubmed.ncbi.nlm.nih.gov/15750693/
Saudi Arabia,Riyadh,24.7,46.7,40,35,354,Al-Othman et al. 2012,"Al-Othman A et al. Year-round vitamin D deficiency among Saudi female out-patients. BMC Womens Health. 2012;12(Suppl 1):S2.",https://pubmed.ncbi.nlm.nih.gov/36380347/
Australia,Geelong,-38.1,144.4,67,55,500,Pasco et al. 2001,"Pasco JA et al. Vitamin D status of women in the Geelong Osteoporosis Study. Med J Aust. 2001;175(8):401-405.",https://pubmed.ncbi.nlm.nih.gov/11700831/
Brazil,São Paulo,-23.5,-46.6,56,41,140,Maeda et al. 2013,"Maeda SS et al. Increases in summer serum 25OHD concentrations in elderly subjects in São Paulo Brazil. BMC Endocr Disord. 2013;13:14.",https://pubmed.ncbi.nlm.nih.gov/23566263/
Netherlands,Amsterdam (LASA),52.4,4.9,65,45,1300,van Schoor et al. 2014,"van Schoor NM et al. Longitudinal changes and predictors of serum 25(OH)D levels in older persons. Osteoporos Int. 2014;25(1):347-355.",https://pubmed.ncbi.nlm.nih.gov/24570295/
Norway,Tromsø,69.7,19,65,52,3000,Jorde et al. 2010,"Jorde R et al. Tracking of serum 25-hydroxyvitamin D levels during 14 years in a population-based study. Am J Epidemiol. 2010;171(8):903-908.",https://pubmed.ncbi.nlm.nih.gov/20219763/
Argentina,Multi-latitude,-34,-58.5,44.9,29.9,370,Oliveri et al. 2004,"Oliveri B et al. High prevalence of vitamin D insufficiency in healthy elderly people living at home in Argentina. Eur J Clin Nutr. 2004;58(2):337-342.",https://pubmed.ncbi.nlm.nih.gov/14749756/
Chile,National Health Survey,-33.5,-70.7,59.9,44.9,1283,Lera et al. 2023,"Lera L et al. Social determinants of serum 25-hydroxyvitamin D concentrations deficiency in older Chilean people. Front Nutr. 2023;10:1235391.",https://pubmed.ncbi.nlm.nih.gov/37908241/
Spain,Multi-centre,40,-3.7,44.2,36.2,3000,Mendes-Cunha et al. 2021,"Mendes-Cunha M et al. Vitamin D deficiency in primary health care users at risk in Spain. Nutr Hosp. 2021;38(5):1058-1067.",https://pubmed.ncbi.nlm.nih.gov/33866793/
New Zealand,Aged-care,-41,174,64,70,588,Wham et al. 2023,"Wham C et al. Vitamin D status and its predictors in New Zealand aged-care residents. Public Health Nutr. 2023;26(8):1638-1645.",https://pubmed.ncbi.nlm.nih.gov/37211843/
Ireland,National (TILDA),53,-8,55,38,5356,Laird et al. 2018,"Laird E et al. Prevalence of Vitamin D Deficiency and Determinants of 25(OH)D in Older Irish Adults. J Gerontol A Biol Sci Med Sci. 2018;73(4):519-525.",https://pubmed.ncbi.nlm.nih.gov/28958047/
Denmark,Copenhagen,55.7,12.6,67.3,47.2,52,Andersen et al. 2013,"Andersen R et al. Seasonal changes in vitamin D status among Danish adolescent girls and elderly women. Eur J Clin Nutr. 2013;67(3):270-274.",https://pubmed.ncbi.nlm.nih.gov/23388667/
Iceland,Reykjavik,64.1,-21.9,58,49,308,Steingrimsdottir et al. 2006,"Steingrimsdottir L et al. Vitamin D intake and serum 25-OH-vitamin D in Icelandic women. Laeknabladid. 2006;92(6):431-437.",https://pubmed.ncbi.nlm.nih.gov/19439801/
Iceland,Reykjavik (hospitalised),64.1,-21.9,42,28,60,Ramel et al. 2009,"Ramel A et al. Vitamin D deficiency and nutritional status in elderly hospitalized subjects in Iceland. Public Health Nutr. 2009;12(7):1001-1005.",https://pubmed.ncbi.nlm.nih.gov/19144240/
France,National (VARIETE),47,2,64.9,52.4,312,Souberbielle et al. 2016,"Souberbielle JC et al. Prevalence and determinants of vitamin D deficiency in healthy French adults: the VARIETE study. Endocrine. 2016;53(2):543-550.",https://pubmed.ncbi.nlm.nih.gov/27106800/
Russia,Multi-centre,56,38,42.4,49.9,300,Suplotova et al. 2021,"Suplotova LA et al. Vitamin D deficiency in Russia: current status and recommendations. Ter Arkh. 2021;93(10):1209-1216.",https://pubmed.ncbi.nlm.nih.gov/36286760/
