country,region,lat,lng,jun_aug_value,dec_feb_value,n,short_citation,full_citation,url
USA,National (NHANES III),39,-98,79.9,64.9,18875,Looker et al. 2002,"Looker AC et al. Serum 25-hydroxyvitamin D status of adolescents and adults in two seasonal subpopulations from NHANES III. Bone. 2002;30(5):771-777.",https://pubmed.ncbi.nlm.nih.gov/11996918/
United Kingdom,National (NDNS),53,-1,59,37,1655,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1–4 of the Rolling Programme 2008/09–2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023
Canada,National (CHMS),56,-96,70,55,5306,Whiting et al. 2011,"Whiting SJ et al. The vitamin D status of Canadians relative to the 2011 Dietary Reference Intakes. Am J Clin Nutr. 2011;94(1):128-135.",https://pubmed.ncbi.nlm.nih.gov/21593503/
Germany,National (DEGS1),51,10,63,36,6995,Rabenberg et al. 2015,"Rabenberg M et al. Vitamin D status among adults in Germany — results from DEGS1. BMC Public Health. 2015;15:641.",https://pubmed.ncbi.nlm.nih.gov/26162848/
Estonia,Tartu,58.4,26.7,57,38,367,Kull et al. 2009,"Kull M Jr et al. Body mass index determines sunbathing habits: implications on vitamin D levels. Intern Med J. 2009;39(4):256-258.",https://pubmed.ncbi.nlm.nih.gov/19149899/
Sweden,Stockholm,59.3,18.1,70,45,615,Klingberg et al. 2015,"Klingberg E et al. Seasonal variations in serum 25-hydroxy vitamin D levels in a Swedish cohort. Endocrine. 2015;49(3):800-808.",https://pubmed.ncbi.nlm.nih.gov/25681052/
South Korea,National (KNHANES),37,127,54.9,39.9,21208,Park et al. 2018,"Park JH et al. Vitamin D status in South Korean population: Seven-year trend from the KNHANES. Medicine. 2018;97(26):e11032.",https://pubmed.ncbi.nlm.nih.gov/29952935/
Japan,Tokai,35,137,78.9,37.7,197,Ono et al. 2005,"Ono Y et al. Seasonal changes of serum 25-hydroxyvitamin D and intact parathyroid hormone levels in a normal Japanese population. J Bone Miner Metab. 2005;23(2):147-151.",https://pubmed.ncbi.nlm.nih.gov/15750693/
Japan,Northern Kyushu,33,130.4,68.4,53.4,529,Nanri et al. 2011,"Nanri A et al. Serum 25-hydroxyvitamin D concentrations and season-specific correlates in Japanese adults. J Epidemiol. 2011;21(5):346-353.",https://pubmed.ncbi.nlm.nih.gov/21747209/
Mongolia,8 provinces,47,105,56.2,19.2,320,Bromage et al. 2016,"Bromage S et al. Seasonal Epidemiology of Serum 25-Hydroxyvitamin D Concentrations among Healthy Adults in Mongolia. Nutrients. 2016;8(10):592.",https://pubmed.ncbi.nlm.nih.gov/27669285/
