country,region,lat,lng,jun_aug_value,dec_feb_value,n,short_citation,full_citation,url
United Kingdom,National (NDNS),53,-1,57.5,36.5,1687,NDNS / PHE 2014,"Bates B et al. National Diet and Nutrition Survey: Results from Years 1–4 of the Rolling Programme 2008/09–2011/12. Public Health England. 2014.",https://www.gov.uk/government/statistics/national-diet-and-nutrition-survey-2019-to-2023
Canada,National (CHMS),56,-96,70,55,1000,Munasinghe et al. 2017,"Munasinghe LL et al. Vitamin D Sufficiency of Canadian Children Did Not Improve Following the 2010 Revision of the Dietary Guidelines. Nutrients. 2017;9(9):945.",https://pubmed.ncbi.nlm.nih.gov/28854000/
Germany,National (KiGGS),51,10,75,38,10015,Rabenberg et al. 2018,"Rabenberg M et al. Vitamin D status among children in Germany. BMC Public Health. 2018;18:845.",https://pubmed.ncbi.nlm.nih.gov/29986696/
China,Wuhan,30.6,114.3,69.9,49.9,198754,Wang et al. 2024,"Wang J et al. High prevalence and seasonal patterns of vitamin D deficiency in children and adolescents in Central China. Heliyon. 2024;10(23):e40413.",https://pubmed.ncbi.nlm.nih.gov/39640697/
Saudi Arabia,Riyadh,24.7,46.7,72.4,54.9,1790,Benameur et al. 2024,"Benameur T et al. Seasonal Variations in 25-Hydroxyvitamin D Levels among Pediatric Patients. Nutrients. 2024;16(3):379.",https://pubmed.ncbi.nlm.nih.gov/38337663/
Finland,Helsinki,60.2,24.9,55,40,142,Viljakainen et al. 2006,"Viljakainen HT et al. A positive dose-response effect of vitamin D supplementation on site-specific bone mineral augmentation in adolescent girls. Br J Nutr. 2006;96(1):124-130.",https://pubmed.ncbi.nlm.nih.gov/16869999/
Japan,Multiple sites,36,140,48.3,39.9,200,Shiraishi et al. 2019,"Shiraishi M et al. Seasonal variation of serum 25(OH) vitamin D levels in maternal and umbilical cord blood in Japanese women. Asia Pac J Clin Nutr. 2019;28(2):323-332.",https://pubmed.ncbi.nlm.nih.gov/31064925/
South Africa,Cape Town,-34,18.5,55,30,1825,Middelkoop et al. 2022,"Middelkoop K et al. Vitamin D deficiency in South African primary schoolchildren. S Afr Fam Pract. 2022.",https://pubmed.ncbi.nlm.nih.gov/35441046/
Poland,6 cities,52,20,57.4,37.4,720,Pludowski et al. 2019,"Pludowski P et al. Evidence of a significant vitamin D deficiency among 9–13-year-old Polish children. Eur J Nutr. 2019;58(5):2029-2036.",https://pubmed.ncbi.nlm.nih.gov/29862435/
Argentina,Ushuaia,-55,-68.3,49.9,24.9,42,Oliveri et al. 1993,"Oliveri MB et al. Seasonal variations of 25 hydroxyvitamin D and parathyroid hormone in Ushuaia. Bone Miner. 1993;20(1):99-108.",https://pubmed.ncbi.nlm.nih.gov/8453326/
Russia,Moscow,55.8,37.6,57.2,42.4,1041,Zakharova et al. 2017,"Zakharova IN et al. Seasonality of Vitamin D Insufficiency in Children of Moscow. Am J Pediatr. 2017;3(6):96-103.",https://www.sciencepublishinggroup.com/article/10.11648/j.ajp.20170306.14
Mexico,Mexico City,19.4,-99.1,69.9,54.9,816,Lopez-Gonzalez et al. 2024,"Lopez-Gonzalez D et al. Seasonal Differences of 25-Hydroxyvitamin D Concentrations in Children and Adolescents from Mexico City. Ann Nutr Metab. 2024;81(1):61-69.",https://pubmed.ncbi.nlm.nih.gov/39510049/
Denmark,National (StatusD),56,10,73,55,527,Hansen et al. 2018,"Hansen L et al. Vitamin D Status and Seasonal Variation among Danish Children and Adults. Nutrients. 2018;10(11):1801.",https://pubmed.ncbi.nlm.nih.gov/30463277/
Iceland,Reykjavik,64.1,-21.9,45,26,325,Kristinsson et al. 2009,"Kristinsson JO et al. Vitamin D intake and serum 25-OH-vitamin D in Icelandic schoolchildren. Laeknabladid. 2009;95(5):398-405.",https://pubmed.ncbi.nlm.nih.gov/19439801/
Greece,Nationwide,38,23.7,60.3,45.7,2353,Manios et al. 2017,"Manios Y et al. Prevalence of vitamin D deficiency and insufficiency among schoolchildren in Greece. Br J Nutr. 2017;118(7):550-558.",https://pubmed.ncbi.nlm.nih.gov/29189194/
Greece,Athens,38,23.7,86.4,44.7,376,Patseadou et al. 2021,"Patseadou M et al. Vitamin D Status in Children in Greece and Its Relationship with Sunscreen Application. Children. 2021;8(2):111.",https://pubmed.ncbi.nlm.nih.gov/33546499/
New Zealand,National,-41,174,47,25,500,Rockell et al. 2006,"Rockell JE et al. Serum 25-hydroxyvitamin D concentrations of New Zealanders aged 15 years and older. Osteoporos Int. 2006;17(9):1382-1389.",https://pubmed.ncbi.nlm.nih.gov/16832715/
